locality,property_type,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_population_density,lat,lon,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km,post_month,post_day_of_month,post_weekday,post_is_weekend,post_age_days,price_per_m2
phường bình thạnh,0,3.0,3.0,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,38.042,10.8045369,106.6985299,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,5,23,5,1,28,178000000.0
phường phú nhuận,0,3.0,5.0,16.0,5.0,18.0,45000000000.0,165.0,0,0,0,0,46.863,10.7978431,106.674643,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0,5,27,2,0,24,272727272.72727275
phường tân định,1,2.0,4.0,12.0,4.0,15.0,20000000000.0,60.0,0,0,0,0,39.45,10.7911838,106.6923819,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,6,10,2,0,10,333333333.3333333
phường chánh hưng,1,6.0,100.0,7.0,10.0,45.0,65000000000.0,446.0,1,1,1,1,41.368,10.7460099,106.6829836,3.938890870016373,0.1026391394111249,142.0,0.6244011765486238,76.0,0.389629664161238,41.0,0.0111438965873269,62.0,0.7192455313154356,10.0,0.2217875008797816,29.0,3.203953797566647,3.0,6,10,2,0,10,145739910.31390134
phường bến thành,1,4.0,6.0,50.0,4.6,21.0,45000000000.0,300.0,0,0,0,0,38.809,10.7697658,106.6968854,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0,6,10,2,0,10,150000000.0
phường cầu ông lãnh,1,2.0,2.0,40.0,11.0,30.0,240000000000.0,300.0,1,1,1,1,49.209,10.7607239,106.6855219,2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0,6,9,1,0,11,800000000.0
phường bình lợi trung,1,4.0,6.0,25.0,5.3,18.0,11600000000.0,63.0,1,1,1,1,29.851,10.8143593,106.6949846,4.193692198045986,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205,6.0,6,9,1,0,11,184126984.12698412
phường bình thạnh,1,1.0,1.0,12.0,16.0,20.0,48000000000.0,320.0,0,0,0,0,38.042,10.8045369,106.6985299,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,6,9,1,0,11,150000000.0
phường bảy hiền,1,3.0,1.0,30.0,8.0,38.0,54000000000.0,260.0,0,0,0,0,46.242,10.7931438,106.6517919,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,2.6536900993305035,0.0,6,9,1,0,11,207692307.69230768
phường gia định,1,8.0,15.0,20.0,8.2,25.0,68000000000.0,200.0,0,0,0,0,45.633,10.7947837,106.7093255,2.1822596604592133,0.1711869088091718,99.0,1.4231773041651654,47.0,0.3601758043190207,17.0,0.3160654149244814,56.0,2.343508123557825,12.0,0.0265506988051478,43.0,0.6903391017798891,7.0,6,9,1,0,11,340000000.0
